case,truth,alpha_case,structural_relative_gain,quality,predicted,correct
IND_RECALIBRATE_20,RECALIBRATE,0.9596732900799557,0.0,0.8895006891021623,RECALIBRATE,True
IND_REVISE_1,REVISE,2.4664334038912648,0.7553088657493456,0.9901325119938738,REVISE,True
IND_REVISE_2,REVISE,1.8952963124256192,0.6017378948318187,0.831514726642181,REVISE,True
IND_REVISE_3,REVISE,2.4706066884436604,0.9239259797265973,0.8741671634266203,REVISE,True
IND_REVISE_4,REVISE,2.5774154604353647,0.9286462925542576,0.9172462694857805,REVISE,True
IND_REVISE_5,REVISE,2.3038161875393612,0.8036541964982044,0.8971556928872929,REVISE,True
IND_REVISE_6,REVISE,2.4354185213702126,0.5891847674396585,0.821826281592734,REVISE,True
IND_REVISE_7,REVISE,2.185138035535055,0.8300898717907957,0.8460749027591495,REVISE,True
IND_REVISE_8,REVISE,2.3206558644183857,0.5807591822025273,0.8519916292410197,REVISE,True
IND_REVISE_9,REVISE,1.780423995793529,0.6238547054710799,0.8936673437894592,REVISE,True
IND_REVISE_10,REVISE,2.281790398664639,0.6393424325824086,0.8822670872092068,REVISE,True
IND_REVISE_11,REVISE,1.8007291768909677,0.6568766096089614,0.825993021273488,REVISE,True
IND_REVISE_12,REVISE,2.227467042527838,0.6013861381632698,0.9302751730370066,REVISE,True
IND_REVISE_13,REVISE,2.497677287370264,0.7054155498738572,0.9316542725724791,REVISE,True
IND_REVISE_14,REVISE,1.9429901059800911,0.49914748077373655,0.8940825554423721,REVISE,True
IND_REVISE_15,REVISE,2.544241759996552,0.8061805114296677,0.8336000799165854,REVISE,True
IND_REVISE_16,REVISE,2.095601010089511,0.9251809003339573,0.8554876676375052,REVISE,True
IND_REVISE_17,REVISE,2.380088058784164,0.9189863245578096,0.8566860235798074,REVISE,True
IND_REVISE_18,REVISE,1.7937055521169645,0.6361542721933888,0.823534048106062,REVISE,True
IND_REVISE_19,REVISE,2.2284182790100715,0.5986252592190532,0.9200712707478244,REVISE,True
IND_REVISE_20,REVISE,1.844328473898336,0.9045235517516156,0.8677849591412271,REVISE,True
IND_ABSTAIN_1,ABSTAIN,2.2817466998730787,0.6874794701825989,0.5570821621687561,ABSTAIN,True
IND_ABSTAIN_2,ABSTAIN,1.9375111704556214,0.8449346034163141,0.3225951839582469,ABSTAIN,True
IND_ABSTAIN_3,ABSTAIN,2.0284593889856044,0.9166009390097796,0.77499596503745,ABSTAIN,True
IND_ABSTAIN_4,ABSTAIN,1.844598354810333,0.811198109370708,0.3148578559790055,ABSTAIN,True
IND_ABSTAIN_5,ABSTAIN,1.946447967798715,0.8847773522163195,0.4484669889317131,ABSTAIN,True
IND_ABSTAIN_6,ABSTAIN,1.9797305716253182,0.5666072545505338,0.23336341349751705,ABSTAIN,True
IND_ABSTAIN_7,ABSTAIN,2.0343433701447022,0.9475395708293624,0.3002759970274006,ABSTAIN,True
IND_ABSTAIN_8,ABSTAIN,2.413803911396619,0.9174488765712294,0.7690316944487912,ABSTAIN,True
IND_ABSTAIN_9,ABSTAIN,2.5761590553207294,0.9101300342558161,0.43448130657175305,ABSTAIN,True
IND_ABSTAIN_10,ABSTAIN,1.8983000138841177,0.7113412396292369,0.2912842963197487,ABSTAIN,True
IND_ABSTAIN_11,ABSTAIN,2.4101365601526816,0.8723444967249,0.7391634680208123,ABSTAIN,True
IND_ABSTAIN_12,ABSTAIN,1.7350690164459515,0.8236208941754588,0.2889637320420145,ABSTAIN,True
IND_ABSTAIN_13,ABSTAIN,1.775623794501905,0.7567429038205256,0.2677581682809351,ABSTAIN,True
IND_ABSTAIN_14,ABSTAIN,1.8341128121833234,0.6074454581784822,0.4242273018748547,ABSTAIN,True
IND_ABSTAIN_15,ABSTAIN,2.3467348757238016,0.6724217608398018,0.5782096642116588,ABSTAIN,True
IND_ABSTAIN_16,ABSTAIN,2.2711927526997098,0.6085634042541548,0.2975679399324437,ABSTAIN,True
IND_ABSTAIN_17,ABSTAIN,2.428244541907625,0.7086804443731918,0.5541604149483983,ABSTAIN,True
IND_ABSTAIN_18,ABSTAIN,2.1768240820146683,0.8707404827249703,0.5501639810219958,ABSTAIN,True
IND_ABSTAIN_19,ABSTAIN,2.158633406018187,0.5969790264604284,0.3045925677790031,ABSTAIN,True
IND_ABSTAIN_20,ABSTAIN,2.514089031851262,0.5484124650553212,0.2171178556786171,ABSTAIN,True
