Case_ID,Hidden_Ground_Truth,Strength,Observation_Quality,Observed_Structural_Evidence,ETMR_Decision
66,REVISE,0.15,1.0,1.0,REVISE
67,REVISE,0.15,0.8,1.0,REVISE
68,REVISE,0.15,0.6,1.0,ABSTAIN
69,REVISE,0.15,0.4,1.0,ABSTAIN
70,REVISE,0.15,0.2,1.0,ABSTAIN
71,REVISE,0.3,1.0,1.0,REVISE
72,REVISE,0.3,0.8,1.0,REVISE
73,REVISE,0.3,0.6,1.0,ABSTAIN
74,REVISE,0.3,0.4,1.0,ABSTAIN
75,REVISE,0.3,0.2,1.0,ABSTAIN
76,REVISE,0.5,1.0,1.0,REVISE
77,REVISE,0.5,0.8,1.0,REVISE
78,REVISE,0.5,0.6,1.0,ABSTAIN
79,REVISE,0.5,0.4,1.0,ABSTAIN
80,REVISE,0.5,0.2,1.0,ABSTAIN
81,REVISE,0.75,1.0,1.0,REVISE
82,REVISE,0.75,0.8,1.0,REVISE
83,REVISE,0.75,0.6,1.0,ABSTAIN
84,REVISE,0.75,0.4,1.0,ABSTAIN
85,REVISE,0.75,0.2,1.0,ABSTAIN
86,REVISE,1.0,1.0,1.0,REVISE
87,REVISE,1.0,0.8,1.0,REVISE
88,REVISE,1.0,0.6,1.0,ABSTAIN
89,REVISE,1.0,0.4,1.0,ABSTAIN
90,REVISE,1.0,0.2,1.0,ABSTAIN
91,ABSTAIN,0.05,1.0,0.5258455955989854,REVISE
92,ABSTAIN,0.05,0.8,0.4173689723490249,REVISE
93,ABSTAIN,0.05,0.6,0.6401170363978821,ABSTAIN
94,ABSTAIN,0.05,0.4,0.49397006298993545,ABSTAIN
95,ABSTAIN,0.05,0.2,0.24879109885017117,ABSTAIN
96,ABSTAIN,0.15,1.0,0.8266834955054652,REVISE
97,ABSTAIN,0.15,0.8,0.8172540316328052,REVISE
98,ABSTAIN,0.15,0.6,0.9536984135426756,ABSTAIN
99,ABSTAIN,0.15,0.4,0.7989363108012959,ABSTAIN
100,ABSTAIN,0.15,0.2,0.8561621628962379,ABSTAIN
101,ABSTAIN,0.3,1.0,1.0,REVISE
102,ABSTAIN,0.3,0.8,1.0,REVISE
103,ABSTAIN,0.3,0.6,1.0,ABSTAIN
104,ABSTAIN,0.3,0.4,1.0,ABSTAIN
105,ABSTAIN,0.3,0.2,1.0,ABSTAIN
106,ABSTAIN,0.5,1.0,1.0,REVISE
107,ABSTAIN,0.5,0.8,1.0,REVISE
108,ABSTAIN,0.5,0.6,1.0,ABSTAIN
109,ABSTAIN,0.5,0.4,1.0,ABSTAIN
110,ABSTAIN,0.5,0.2,1.0,ABSTAIN
111,ABSTAIN,0.75,1.0,1.0,REVISE
112,ABSTAIN,0.75,0.8,1.0,REVISE
113,ABSTAIN,0.75,0.6,1.0,ABSTAIN
114,ABSTAIN,0.75,0.4,1.0,ABSTAIN
115,ABSTAIN,0.75,0.2,1.0,ABSTAIN
116,ABSTAIN,1.0,1.0,1.0,REVISE
117,ABSTAIN,1.0,0.8,1.0,REVISE
118,ABSTAIN,1.0,0.6,1.0,ABSTAIN
119,ABSTAIN,1.0,0.4,1.0,ABSTAIN
120,ABSTAIN,1.0,0.2,1.0,ABSTAIN
